id,sentences,label
311,당신과 함께한 날들은 나에게 새로운 가능성을 열어줘요.,13
312,기념일을 맞이해서 당신을 만난 것에 대해 다시 한 번 감사하고 싶어요.,13
313,당신과 함께한 기념일은 나를 더욱 자신감 넘치는 사람으로 만들어 줘요.,13
314,당신과 함께한 순간들은 나를 더욱 성숙하고 강인한 사람으로 성장시켜줘요.,13
315,당신을 만난 날은 나에게 주어진 가장 큰 축복이에요. 함께한 시간에 항상 감사하고 있어요.,13
316,당신을 만나 사랑으로 가득찬 날들을 보내고 있는 나 자신에게 감사합니다.,13
317,당신과 함께한 시간이 나에게는 가장 소중한 선물이에요. 영원토록 사랑할게요.,13
318,당신과 함께한 모든 순간이 나에게는 영원한 기억으로 남아요. 사랑해요.,13
319,당신은 나에게 넘치는 사랑을 선물해주는 사람이에요. 항상 고마워요.,13
320,당신과 함께한 날들은 하나같이 소중하고 아름다워요. 영원한 사랑을 약속해요.,13
321,당신과 함께한 모든 순간은 나에게는 행복으로 가득 찬 날들이에요. 사랑해요.,13
322,당신의 사랑은 나에게 무한한 힘을 줘요. 항상 고마워요.,13
323,당신과 함께한 모든 순간은 나에게는 하나같이 따뜻하고 아름다워요. 영원한 사랑을 약속해요.,13
324,당신은 나에게 주어진 가장 큰 선물이에요. 항상 함께하고 싶어요.,13
325,당신과 함께한 날들은 하나같이 소중하고 아름다워요. 영원한 사랑을 약속해요.,13
326,당신과 함께하는 모든 순간이 나에게는 발걸음마다 따뜻한 햇살처럼 느껴져요. 사랑해요.,13
327,당신이 나의 곁에 있어준 것만으로도 내게는 큰 축복이야. 영원한 사랑을 약속해요.,13
328,당신과 나의 사랑은 세상 그 무엇보다 소중하고 귀하다고 생각해요. 항상 함께하고 싶어요.,13
329,당신은 나에게 행복과 사랑을 가르쳐준 소중한 사람이에요. 항상 고마워요.,13
330,당신과 함께한 모든 순간은 나에게는 행복으로 가득한 보물 상자 같아요. 영원한 사랑을 약속해요.,13
331,당신은 나에겐 더 큰 의미를 부여하는 사랑이에요. 항상 고마워요.,13
332,당신과 함께한 날들은 하나같이 따뜻하고 아름다워요. 영원한 사랑을 약속해요.,13
333,당신은 나에게는 소중한 사람 중의 소중한 존재에요. 항상 함께하고 싶어요.,13
334,당신과 함께하는 모든 순간이 나에게는 행복으로 가득한 보물 같아요. 사랑해요.,13
335,당신의 사랑은 나에게 가장 소중한 선물이에요. 항상 함께하고 싶어요.,13
336,너와 함께한 모든 순간이 특별해 지는 것 같아요.,13
337,우리의 사랑은 어느 하나 놓칠 수 없을만큼 특별해요.,13
338,"단 하루도 특별하지 않았던 날이 없어, 너와 함께.",13
339,너와 함께하는 모든 순간이 나에겐 특별한 선물이에요.,13
340,우리가 만들어가는 이야기 속에 특별함이 넘쳐나.,13
341,너와 함께 함께하는 모든 날이 특별한 이유 같아요.,13
342,너의 눈빛 하나하나가 나에게 특별한 의미를 줘요.,13
343,우리 사이의 연애는 특별함과 감동으로 가득 차 있어.,13
344,너와 함께하는 모든 순간이 특별한 기억으로 남을 거예요.,13
345,나에겐 너와의 만남이 가장 특별한 순간이었어요.,13
346,너와 함께 한 시간은 얼마나 특별할까요? 그 무한한 특별함을 함께 만들어요.,13
347,우리가 함께한 시간들은 하나같이 특별한 순간들로 기억될 거예요.,13
348,너랑 함께 할 때면 모든 게 특별한 순간이 돼요.,13
349,"우리의 사랑은 특별함으로 가득 차 있어, 그 행복을 함께 나눠요.",13
350,"우리 사이에 특별한 공간이 생겼어요, 너와 나만의 세계처럼.",13
351,너와 함께 한 시간들이 얼마나 특별한지 말로 다 표현할 수 없어요.,13
352,"자꾸 네 생각이 나서, 특별한 시간들이 피어나요.",13
353,너와 함께하는 따스한 시간이 내게는 얼마나 특별한지.,13
354,"아무리 말로 닿지 않아도, 우리의 사랑은 얼마나 특별힌지.",13
355,언제나 너와 함께 해서 너무나 특별해.,13
356,작고 따뜻한 순간들이 얼마나 특별한지.,13
357,네가 보여준 예쁜 미소 하나하나가 특별해.,13
358,우리의 사랑을 담은 순간은 얼마나 특별할까.,13
359,사소한 것 하나까지도 특별한 것 같아.,13
360,너라면 어떤 날도 특별할 거라 믿어.,13
361,네 손을 잡고 있는 순간들이 너무나 특별해.,13
362,단 하루도 너와 함께 한 날이 특별하지 않아.,13
363,우리 사이에 피어나는 감동이 얼마나 특별한지.,13
364,네 눈 속에 비춰지는 특별한 세계가 너무 아름다워.,13
365,우리가 함께 하는 시간들은 얼마나 특별할까.,13
366,하루하루가 너와 함께 특별한 시간이 돼.,13
367,너를 만나서 너무나 특별한 순간들을 쌓아가.,13
368,오늘도 얼마나 특별한 너와 함께 한다면.,13
369,우리 사랑은 얼마나 특별한지 하늘은 알 아야죠.,13
370,너와 함께하는 모든 일들이 너무나 특별해.,13
371,"눈을 마주친 순간, 얼마나 특별한 순간이었던 건지.",13
372,너와 함께 한 모든 순간들이 너무나 특별했어.,13
373,우리 간에 오가는 작은 미소들이 얼마나 특별한지.,13
374,단 하루도 모든 순간이 특별하지 않은 날이 없어.,13
375,너와 함께한 공간이 얼마나 특별했는지.,13
376,네가 있는 이 곳이 어느 때보다 너무나 특별하다.,13
377,우리 옆에서 늘 함께하는 모든 순간들이 얼마나 특별할까.,13
378,너의 미소와 함께 하는 순간이 얼마나 특별한지.,13
379,너와 함께한 날들이 얼마나 특별했는지.,13
380,너의 손을 잡고 있는 것만으로도 얼마나 특별한지.,13
381,너와 함께 영원히 함께 할 수 있다는 사실만으로도 특별하다.,13
382,우리 사이에 있던 모든 순간들이 얼마나 특별한지.,13
383,너와 함께 있는 지금 이 순간도 얼마나 특별한지.,13
384,우리 사이에 피어나는 감동이 얼마나 특별한지.,13
385,너를 사랑하는 마음이 얼마나 특별한지 느껴져. ,13
386,당신과 함께하는 모든 순간이 내게는 소중한 선물이에요. 사랑해요.,13
387,당신의 미소가 나의 하루를 밝혀줘. 사랑해요.,13
388,당신과 함께라면 어떤 날도 특별한 날이 될 것 같아요. 사랑해요.,13
389,내 곁에 있어줘서 고마워요. 당신을 사랑해요.,13
390,당신과 함께하는 시간은 마치 꿈같아요. 사랑해요.,13
391,우리의 사랑은 시간이 흘러도 변하지 않을 거예요.,13
392,당신과 함께하는 모든 순간이 나에게는 소중한 기억이에요. 사랑해요.,13
393,당신과 함께 있는 지금 이 순간이 가장 행복해요. 사랑해요.,13
394,당신을 만난 순간부터 내 인생은 완전히 달라졌어요. 사랑해요.,13
395,당신과 함께하는 날들이 나에게는 최고의 선물이에요. 사랑해요.,13
396,당신과 함께하는 모든 날이 나에게는 소중한 기억이에요. 사랑해요.,13
397,당신의 온정과 사랑이 나를 더욱 강하게 만들어줘요.,13
398,당신의 눈동자에 담긴 사랑을 느낄 수 있어 행복해요. 사랑해요.,13
399,당신을 만나서 내 삶이 풍요로워졌어요. 사랑해요.,13
400,당신과 함께하는 모든 순간이 나에게는 소중한 기회가 되어요. 사랑해요.,13
401,나는 당신과의 만남을 영원히 기억할 거예요. 사랑해요.,13
402,당신과 함께 있는 모든 순간이 나에게는 특별한 순간이에요. 사랑해요.,13
403,당신의 온정과 사랑이 내 마음을 녹여줘요. 사랑해요.,13
404,당신과의 만남은 내 인생에서 가장 큰 선물이에요. 사랑해요.,13
405,당신과 함께하는 모든 날이 나에게는 특별한 의미가 있어요. 사랑해요.,13
406,나는 당신과 함께하는 모든 순간이 특별한 계절이라고 생각해요. 사랑해요.,13
407,당신의 손을 잡으면 모든 고통과 어려움이 사라져요. 사랑해요.,13
408,당신과 함께하는 하루하루가 내게는 소중한 보물이에요. 사랑해요.,13
409,당신과의 사랑으로 인해 내 삶이 더욱 풍요로워졌어요. 사랑해요.,13
410,당신과 함께 있는 모든 순간이 나에게는 특별한 선물이에요. 사랑해요.,13
411,당신과의 만남은 내 인생의 가장 큰 축복이에요. 사랑해요.,13
412,당신의 사랑은 나를 더욱 강하게 만들어줘요. 사랑해요.,13
413,당신과 함께하는 모든 날이 나에게는 특별한 날이에요. 사랑해요.,13
414,당신의 온정과 사랑이 나를 더욱 따뜻하게 만들어줘요. 사랑해요.,13
415,당신을 만나서 내 삶이 더욱 풍요로워졌어요. 사랑해요.,13
416,당신과의 만남은 내 인생에서 가장 크고 소중한 선물이에요. 사랑해요.,13
417,당신과 함께하는 모든 순간이 나에게는 특별한 기회가 되어요. 사랑해요.,13
418,나는 당신과의 만남을 영원히 기억할 거예요. 사랑해요.,13
419,당신과 함께하는 모든 날이 나에게는 소중한 기억이에요. 사랑해요.,13
420,당신과 함께하는 모든 날이 나에게는 특별한 의미를 갖고 있어요. 사랑해요.,13
421,당신의 온정과 사랑이 나를 더욱 강하게 만들어줘요. 사랑해요.,13
422,당신의 눈길에 나의 행복이 넘쳐흐려요. 사랑해요.,13
423,나는 당신과의 만남으로 인해 더욱 풍요로워졌어요. 사랑해요.,13
424,당신과의 모든 순간이 나에게는 소중한 기회가 되어요. 사랑해요.,13
425,당신과 함께하는 모든 날이 나에게는 특별한 날이에요. 사랑해요.,13
426,당신을 만나서 내 삶이 더욱 풍요로워졌어요. 사랑해요.,13
427,당신과 함께하는 모든 순간이 나에게는 특별한 선물이에요. 사랑해요.,13
428,당신과의 만남은 내 인생에서 가장 큰 선물이에요. 사랑해요.,13
429,당신의 사랑은 나를 더욱 강하게 만들어줘요. 사랑해요.,13
430,당신에게 말하지 않아도 당신을 사랑한다는 걸 느낄 수 있어 행복해요.,13
431,당신과 함께하는 모든 순간이 나에게는 소중한 기회가 되어요. 사랑해요.,13
432,당신과의 만남으로 인해 나의 인생은 더욱 풍요로워졌어요. 사랑해요.,13
433,당신과 함께하는 모든 날이 나에게는 특별한 선물이에요. 사랑해요.,13
434,당신과 함께하는 모든 순간이 나에게는 소중한 기회가 되어요. 사랑해요.,13
435,당신과의 만남은 내 인생에서 가장 큰 축복이에요. 사랑해요.,13
