formal,informal,enfp,joongding,gentle
그건 아닙니다. 비교적 큰 도로여서 지나가는 자동차가 몇 있었어요.,그건 아니야. 비교적 큰 도로여서 지나가는 자동차가 몇 있었어.,"그건 아냐!! 비교적 큰 도로여서,, 지나가는 자동차가 몇 있었엉!",ㄴ 큰도로라 차 좀 다녔음,그건 아닙니다. 비교적 큰 도로여서 지나가는 자동차가 몇대 있었습니다.
옆에 정차 한걸 보고 도와주신 분들도 계신가요?,옆에 정차 한걸 보고 도와주신 분들도 있었어?,옆에 정차한 걸 보고 도와준 사람두 있었엉?!,누가 도와주긴 했음?,옆에 정차 한 것을 보고 도와주신 분들도 계셨나요?
"예, 늙은 커플이 지나가다 멈춰서 물과 지도를 주시고 떠났습니다. 지도는 딱히 필요 없었지만 물은 정말 고마웠습니다.","응, 늙은 커플이 지나가다 멈춰서 물과 지도를 주시고 떠났습니다. 지도는 딱히 필요 없었지만 물은 정말 고마웠습니다.","웅웅! 늙은 커플이 지나가다가 멈춰서 물이랑 지도 주구 떠났지 머야! 지도는 딱히 필요는 없었는뎅,, 물은 정말 고마웠엉 ㅎㅎ",노부부가 물이랑 지도 줬음. 지도는 별로 필요 없었는데 물은 좋더라,"예, 나이가 지긋한 커플이 지나가다 멈춰서 물과 지도를 주시고 떠났습니다. 지도는 딱히 필요 없었지만 물은 정말 감사했습니다."
마음씨가 좋은 분들이시네요.,마음씨가 좋은 분들이시네.,맘씨가 좋은 분들이넹!!,착한 분들이네,마음씨가 좋으신 분들이네요.
"보상을 해드리려고 했는데, 아무것도 원하시지 않고, 대신 다른 사람을 똑같이 도와줄 수 있으면 도와달라고만 하셨어요.","보상을 해드리려고 했는데, 아무것도 원하시지 않고, 대신 다른 사람을 똑같이 도와줄 수 있으면 도와달라고만 하셨어.","보상 해주려구 했는뎅,, 아무것도 원하지 않구,, 대신 다른 사람을 똑같이 도와줄 수 있음 도와달라구만 했엉 ㅎㅎ",보상해드리려 하니까 아무것도 안원하고 다른사람 똑같이 도와달라 하던데,보상을 해드리려고 했으나 아무것도 원하시지 않더군요. 대신 다른 사람을 또같이 도와줄 기회가 있다면 도와달라고만 하셨습니다.
똑같은 선의를 베풀 기회가 있으셨나요?,똑같은 선의를 베풀 기회가 있었?,똑같이 선의를 베풀 기회가 있엇엉?!,그래서 좋은일 했음 니도?,똑같은 선의를 베풀 기회가 있으셨습니까?
"네, 저번 주에 어떤 사람의 자동차 바퀴가 터진 걸 보고 고쳐드렸었습니다.",저번 주에 어떤 사람의 자동차 바퀴가 터진 걸 보고 고쳐드렸어.,웅웅! 지난 주에 어떤 사람 자동차 바퀴가 터진 걸 보구 고쳐줬엉 ㅎㅎ,지난주에 차 바퀴 터진사람 있길래 고쳐주긴 함,"네, 저번 주에 어떤 사람의 자동차 바퀴가 터진 것을 보고 고쳐드렸습니다."
무슨 책을 읽고 계세요?,무슨 책을 읽고 있어?,무슨 책 읽구 있엉?,무슨 책 읽냐,무슨 책을 읽고 계십니까?
자전거 라이더라는 만화를 읽는 중입니다.,자전거 라이더라는 만화를 읽는 중이야.,자전거 라이더라는 만화를 읽는 중이얌 ㅎㅎ,만화 자전거 라이더 읽는데 왜,자전거 라이더라는 만화를 읽는 중입니다.
평소에 만화책을 자주 읽으시나요?,평소에 만화책을 자주 읽어?,평소에 만화책 자주 읽엉?,자주 읽음?,평소에 만화책을 자주 읽으십니까?
"네, 만화 읽는 것을 즐기는 편입니다.","응, 만화 읽는 것을 즐기는 편이야.",웅웅! 만화 읽는 걸 좀 즐기는 편? ㅎㅎ,ㅇ 만화 좋아하는데 왜,네. 만화 읽는 걸 즐기는 편입니다.
추천해주실 만한 작품이 있으시나요?,추천해줄 만한 작품이 있어?,추천해줄 만한 작품 있엉?!,추천은 안해주냐,추천해주실 만한 작품이 있으십니까?
"자전거 라이더도 재미잇지만, ""저의 아버지는 경찰이였습니다""를 개인적으로 추천드립니다.","자전거 라이더도 재미있지만, ""저의 아버지는 경찰이였습니다""를 개인적으로 추천해.","자전거 라이더도 재밌지만 ""저의 아버지는 경찰이였습니다""를 갠적으로 추천!!",자전거 라이더 ㄱㅊ은데 '저의 아버지는 경찰이었습니다' ㅊㅊ,"자전거 라이더도 재밌지만 ""저의 아버지는 경찰이였습니다""를 개인적으로 추천해드리고 싶군요."
무슨 내용이에요?,무슨 내용이야?,뭔 내용이얌?,내용 뭔데,무슨 내용입니까?
아버지가 살인된 사건을 풀어나가는 미스테리 스릴러입니다.,아버지가 살인된 사건을 풀어나가는 미스테리 스릴러야.,아버지가 살인된 사건을 풀어나가는 미스터리 스릴러얌!!,아버지가 살인된 사건 풀어나가는 미스터리 스릴러임,아버지가 살인된 사건을 풀어나가는 미스터리 스릴러입니다.
듣기만 해도 무서운 내용 같아요. 덜 무서운 내용의 만화는 없나요?,"듣기만 해도 무서운 내용 같은데, 덜 무서운 내용의 만화는 없어?","듣기만 해도 무서운 내용 같앙,, 덜 무서운 내용의 만화는 없엉,,?",무섭겠는데 ㅡㅡ 덜무서운거 없냐,듣기만 해도 무서운 내용 같군요. 덜 무서운 내용의 만화는 없을까요?
"피자과 고기 같은 것 이라고 음식에 대한 만화가 있는데, 묘사가 출중합니다.","피자과 고기 같은 것 이라고 음식에 대한 만화가 있는데, 묘사가 출중해.","피자과 고기 같은 것 이라는 음식에 대한 만화가 있는뎅,, 묘사가 출충해!",음식만화중에 피자와 고기같은 것이라고 있는데 묘사 좋음,피자과 고기 같은 것이라고 음식에 대한 만화가 있습니다. 묘사가 아주 출중합니다.
감사합니다. 한 번 읽어볼게요.,고마워. 한 번 읽어볼게.,고마웡 ㅎㅎ 한번 읽어볼겡!!,ㅇ 읽어보던지 함,감사합니다. 한 번 읽어보도록 하겠습니다.
다이어트를 하고 계시면 안 보는걸 추천해요. 매주 거기 나오는 음식이 먹고싶어질 것입니다.,다이어트를 하고있으면 안 보는걸 추천해. 매주 거기 나오는 음식이 먹고싶어질거야..,다이어트 하고 있으면 안 보는 걸 추천! 매주 거기 나오는 음식이 먹고 싶어질거야ㅜㅜ,다이어트하고있으면 읽지마 ㅡㅡ 자꾸 먹고싶어짐,"다이어트를 하고 계시면 안 보는 걸 추천합니다. 매주 거기 나오는 음식이 먹고 싶어질 겁니다,,"
아시는 만화가 정말 많네요.,아는 만화가 정말 많네.,아는 만화가 진~짜 많당 ㅎㅎ,만화는 많이 아네,아시는 만화가 정말 많군요.
"네, 만화를 많이 읽습니다.","응, 만화를 많이 읽는 편이야.",웅웅! 만화 완전 많이 읽엉 ㅎㅎ,ㅇ 만화 많이 읽으니까,네. 만화를 많이 읽습니다.
오늘 장사는 잘 되는 중인가요?,오늘 장사는 잘 되는 중이야?,오늘 장사는 잘 되구 있엉?,오늘 장사 어떰,오늘 장사는 잘 되고 계십니까?
"아직 장사 시작은 안했지만, 요즘들어 뱀 기름이 잘 팔리고 있습니다.","아직 장사 시작은 안했지만, 요즘들어 뱀 기름이 잘 팔리고 있어.",아직 장사 시작은 안했는뎅 요즘들어 뱀 기름이 잘 팔리구 있엉 ㅎㅎ,장사 시작 안했는데 ㅡㅡ 근데 뱀 기름 잘팔림 요즘,아직 장사 시작은 안했습니다. 요즘 들어 뱀기름이 잘 팔리고 있네요.
18세기도 아니고 사람들이 아직도 그런걸 사나요?,18세기도 아니고 사람들이 아직도 그런걸 사?,"18세기두 아니구,, 사람들이 아직도 그런걸 사?!",무슨 18세기도 아니고 그런게 팔리냐,18세기도 아니고 아직도 사람들이 그런 것을 사나요?
"제가 파는 것은 의약품이 아니라, 건강하고 어려질 수 있다는 희망이기에, 시대를 불문하고 팔 수 있는 것 입니다.","내가 파는 것은 의약품이 아니라, 건강하고 어려질 수 있다는 희망이니까, 시대를 불문하고 팔 수 있는 거야.",내가 파는 건 의약품이 아니라! 건강하고 어려질 수 있다는 희망이얌!!! 시대를 불문하고 팔 수 있는거지~,난 의약품을 파는게 아님 ㅡㅡ 건강하고 어려질 수 있다는 희망을 파는거니까 시대를 불문하고 팔리지,제가 파는 것은 의약품이 아닙니다. 건강하고 어려질 수 있다는 희망입니다. 그렇기에 시대를 불문하고 팔 수 있는 것입니다.
뱀 기름을 바르면 피부에 좋다는 말을 사람들이 믿는다고요?,뱀 기름을 바르면 피부에 좋다는 말을 사람들이 믿는다고?,뱀기름을 바르면 피부가 좋다는 말을 사람들이 믿는다구?!,뱀 기름을 바르면 피부에 좋다는걸 누가 믿긴 함?,뱀 기름을 바르면 피부에 좋다는 말을 사람들이 믿는단 겁니까?
"믿는다기보다는, 믿고 싶은 것이 더 정화한 표현같네요.","믿는다기보다는, 믿고 싶은 것이 더 정화한 표현같아.","믿는다기보단,, 믿고 싶은 것이 더 정확한 표현같앙 ㅎㅎ",믿는다라기보다는 믿고 싶은거지 ㅡㅡ,"믿기보단, 믿고 싶은 것이 더 정확한 표현이겠네요."
굉장히 사악한 사업인거 같습니다.,굉장히 사악한 사업인거 같아.,"굉~장히 사악한 사업이넹,,",ㅋ사악한 사업이네,굉장히 사악한 사업이네요.
저도 제가 사람들을 속이고 있다는 사실을 부정하지는 않습니다.,나도 내가 사람들을 속이고 있다는 사실을 부정하지는 않아.,나도 내가 사람들 속이고 있는 건 부정 안해!,ㅇ 속이는고 있는건 맞는데 어쩌라고,저도 제가 사람들을 속이고 있단 사실은 부정하지 않습니다.
뱀 기름 말고도 파는 물건이 있나요?,뱀 기름 말고도 파는 물건은 있어?,"뱀기름 말구,, 파는 물건 있엉?",뱀기름 말고 또 뭐파냐,뱀기름 말고도 파는 물건이 있습니까?
최근에는 허브 기름도 팔고 있습니다.,최근에는 허브 기름도 팔고 있어.,최근에는 허브 기름두 팔고 있엉 ㅎㅎ,허브기름도 팜 왜,최근에는 허브 기름도 팔고 있습니다.
또 기름을 파시네요.,또 기름을 파네.,또 기름을 파넹,무슨 기름만 파네 ㅡㅡ,또 기름을 파시는 군요.
"사업 비밀이지만, 사실 허브 기름하고 뱀 기름하고 같은 기름입니다. 이름만 바꿔서 더 비싸게 파는거죠.","사업 비밀이지만, 사실 허브 기름하고 뱀 기름하고 같은 기름이야. 이름만 바꿔서 더 비싸게 파는거지.","사업 비밀이지만,,,, 사실 허브 기름하구 뱀 기름하구 같은 기름이당? 이름만 바꿔서 더 비싸게 파는거얌 ㅎㅎ",사업 비밀이긴 한데 허브기름이랑 뱀기름이랑 똑같은거임 이름만 바꾸고 더 비쌈,사업 비밀입니다. 사실 허브 기름과 뱀 기름은 같은 기름입니다. 이름만 바꾸어서 더 비싸게 파는거죠.
어느 쪽을 사던 가짜 상품을 속아서 사는 것은 똑같네요.,어느 쪽을 사던 가짜 상품을 속아서 사는 것은 똑같네.,"어느쪽을 사던 가짜 상품 속아서 사는 건 똑같넹,,",여튼 가짜상품 판다는 소리네,어느 쪽을 사던 가짜 상품을 속아서 사는 것은 똑같군요.
의외로 둘 다 사시는 분들도 많습니다. 허브 기름은 탈모 방지에 효능이 있다고 설명하거든요.,의외로 둘 다 사시는 분들도 많아. 허브 기름은 탈모 방지에 효능이 있다고 설명하거든.,의외로 둘 다 사는 사람도 많앙! 허브 기름은 탈모 방지에 효능이 있다고 설명하거든~,의외로 둘다 사가는 사람 많음 ㅡㅡ 허브 기름은 탈모 방지에 효과가 있다고 그러니까,의외로 둘 다 사시는 분도 많이들 계십니다. 허브 기름은 탈모 방지에 효능이 있다고 설명했기 때문이죠.
실제로 효과가 있나요?,실제로 효과가 있어?,실제로 효과가 있엉?,ㄹㅇ?,실제로 효과가 있습니까?
설마 그럴리가 있겠습니까.,그럴리가.,설마~ 그럴리가 ㅎㅎ,ㄴ 그럴리가,설마 그럴리가 있겠습니까.
오늘 밤 저녁은 뭘 먹을까요?,오늘 밤 저녁은 뭘 먹을까?,오늘 밤 저녁은 뭘 먹을까~,저녁 뭐먹을거?,오늘 저녁은 뭘 드실건가요?
제가 비건 피자를 준비할게요.,내가 비건 피자를 준비할게.,내가 비건 피자 준비할겡!!,비건피자 준비함,제가 비건 피자를 준비하겠습니다.
비건 피자는 뭔가요?,비건 피자는 뭐야?,비건 피자?! 그게 모야~?!??,비건피자는 뭔데 또 ㅡㅡ,피건 피자는 뭡니까?
"일반 피자와 기본적으로 동일하지만, 치즈, 고기와 같은 부분들을 비건 식품으로 대체한 것입니다.","일반 피자와 기본적으로 동일하지만, 치즈, 고기와 같은 부분들을 비건 식품으로 대체한거야.","일반 피자랑 비슷한데, 치즈나 고기 같은 부분만 비건 식품으로 대체한 거얌!!",일반 피자랑 동일한데 치즈랑 고기같은거만 비건식품으로 바꾼거임,"일반 피자와 기본적으로 동일합니다. 치즈, 고기와 같은 부분들만 비건 식품으로 대체한 것이죠."
"치즈가 없는 피자라니, 상상이 안되는데요.","치즈가 없는 피자라니, 상상이 안되는데.","치즈가 없는 피자라니,,, 상상이 안되는뎅?!",치즈가 없는 피자 ㅡㅡ 상상도 안되네,"치즈가 없는 피자라니, 상상이 안되는군요."
한번 드셔보시면 좋아하실 지도 모릅니다.,한번 먹어보면 좋아하실 지도 몰라.,한번 먹어보면 좋아할 수도 있엉 ㅎㅎ,먹어보면 좋아할건데 뭘 튕김 ㅡㅡ,한번 드셔보시면 좋아하실지도 모릅니다.
확실히 야채는 많이 먹을 수 있겠네요.,확실히 야채는 많이 먹을 수 있겠네.,확실히 야채는 많이 먹을 수 있겠당!!,풀때기는 많이 먹겠네,확실히 야채는 많이 먹을 수 있겠네요.
혹시 안드시는 야채가 있으신가요?,혹시 안 먹는 야채가 있어?,혹시 안 먹는 야채 있엉?,안먹는 야채 있냐,혹시 안 드시는 야채가 있으십니까?
"고수같이 향이 강한 야채나, 양파, 당근, 가지, 콩을 별로 안 좋아합니다.","고수같이 향이 강한 야채나, 양파, 당근, 가지, 콩을 별로 안 좋아해.","고수같이 향이 강한거나,,, 양파, 당근, 가지, 콩은 별루,, 안 좋아행 ㅜ",고수처럼 향 센거나 양파 당근 가지 콩 안먹지 ㅡㅡ,"고수같이 향이 강한 야채나, 양파, 당근, 가지, 콩을 별로 안 좋아합니다."
편식을 하시네요. 하지만 싫어하시는 당근하고 고수는 뺄게요.,편식을 하네. 하지만 싫어하는 당근하고 고수는 뺄게.,편식을 하넹!! 그래두 싫어하는 당근하고 고수는 빼줄겡,무슨 다 안먹네. 당근이랑 고수 뺌 그럼,편식 하시는군요. 하지만 싫어하시는 당근하고 고수는 빼겠습니다.
감사합니다. 어떤 피자가 나올지 기대가 되는데요.,고마워. 어떤 피자가 나올지 기대가 된다.,"고마웡 ㅎㅎ 어떤 피자가 나올지,, 기대 되넹!!",ㅇ 피자 어떻게 나올라나 모르겠음,감사합니다. 어떤 피자가 나올지 기대되네요.
"저는 즐겨 먹는 편인데, 남들에게 보여주는 건 이번이 처음입니다.","나는 즐겨 먹는 편인데, 남에게 보여주는 건 이번이 처음이야.","난 즐겨 먹는 편인뎅,, 남들에게 보여주는 건 이번이 첨이야!",난 좋아하는데 남한테 보여준 적은 없다,저는 즐겨 먹는 편입니다. 남들에게 보여주는 건 이번이 처음입니다.
"당신, 밥 먹고 나서 이빨을 안 닦으시나요?","너, 밥 먹고 나서 이빨 안 닦지?",너어~ 밥 먹고 이 안 닦아?!,밥먹고 이도 안닦냐? ㅡㅡ,선생님은 밥 드시고 나서 치아를 안 닦으십니까?
무슨 말씀이신가요? 저는 이미 이빨을 닦았습니다.,무슨 말이야? 난 이미 이빨을 닦았어.,뭔 말이양~ 난 이미 이 닦았는뎅!!,뭔소리임 이미 닦았는데,무슨 말씀이십니까? 전 이미 치아를 닦았습니다.
화장실 근처에도 안 가셨는데 어떻게 이빨을 닦으셨어요?,화장실 근처에도 안 갔는데 어떻게 이빨을 닦았어?,"화장실 근처에도 안 갔는뎅,, 어떻게 이를 닦았엉!!",화장실 근처도 안가더만 무슨 이를 닦아 ㅡㅡ,"화장실 근처에도 가지 않으셨는데, 어떻게 치아를 닦으셨습니까?"
여기 아이스크림이 무슨 맛인지 한번 보세요.,여기 아이스크림이 무슨 맛인지 한번 봐봐.,여기 아이스크림이 무슨 맛인지 한번 바바!,여기 아이스크림 무슨맛인지 보고 말해,여기 아이스크림이 무슨 맛인지 한번 봐주십쇼.
"민트초코 맛인데, 설마 민트가 들어있다고 이빨을 닦았다고 하는건 아니겠죠?","민트초코 맛인데, 설마 민트가 들어있다고 이빨을 닦았다고 하는건 아니겠지?","민트초코 맛인뎅,, 설마 민트가 들어갔다구,,, 이를 닦았다고 하는 건 아니징?!",민트초코 맛인데 민트초코 들었다고 이닦았단 소리임 설마?,민트초코 맛이네요. 설마 민트가 들어있다고 치아를 닦았다고 하시는 건 아니죠?
치약의 대부분은 민트가 들어갑니다. 그러므로 민트는 이빨을 닦는 효과가 있어요. 민트초코맛 아이스크림을 먹은 저는 이빨을 닦은 셈이 됩니다.,치약의 대부분은 민트가 들어가있어. 그러므로 민트는 이빨을 닦는 효과가 있지. 민트초코맛 아이스크림을 먹은 나는 이빨을 닦은 셈이 되는거야.,치약의 대부분은 민트가 들어가잖앙~ 그러니까!! 민트는 이를 닦는 효과가 있는거야!! 민트초코맛 아이스크림을 먹은 난! 이를 닦은 셈인거징~,치약의 대부분은 민트가 들어가있으니까 민트는 이닦는거랑 같지 ㅡㅡ 민트초코맛 아이스크림 먹었으니까 이 닦은거지,치약의 대부분은 민트가 들어갑니다. 그러므로 민트는 치아를 닦는 효과가 있습니다. 민트초코맛 아이스크림을 먹은 저는 치아를 닦았다고 볼 수 있지요.
그런 어불성설 하지 말고 어서 제대로 이빨 닦으러 가세요. 아이스크림을 먹으면 이빨이 썩지 어떻게 깨끗해지나요?,그런 어불성설 하지 말고 어서 제대로 이빨 닦으러 가. 아이스크림을 먹으면 이빨이 썩지 어떻게 깨끗해져?,그런 어불성설 하지 말구! 어서 가서 제대로 이 닦아!! 아이스크림 먹으면 이가 썩지 어뜨케 깨끗해져!!!ㅜㅜ,말도안되는 소리말고 이나 닦으러 ㄱ. 아이스크림먹으면 이가 썩지 어떻게 깨끗해짐 ㅡㅡ,그런 어불성설 말고 어서 제대로 치아를 닦으러 가시지요. 아이스크림을 먹으면 치아가 썩지 어떻게 깨끗해집니까.
그럼 이빨 닦기 전에 마저 아이스크림만 먹고 갈게요.,그럼 이빨 닦기 전에 마저 아이스크림만 먹고 갈게.,"그럼 이 닦기 전에 마저 아이스크림만 먹구 갈겡,,",그럼 이닦기전에 아이스크림 남은거 먹을거,그럼 닦기 전에 마저 아이스크림만 먹고 가겠습니다.
이미 다 먹은 거 아니였어요?,이미 다 먹은 거 아니였어?,이미 다 먹은 거 아녔어?!,다먹은거 아니었음?,이미 다 드신 거 아니셨습니까?
"다 먹은 줄 알았는데, 이빨을 닦고 나서는 먹을 수 없잖아요. 한시간 뒤에 먹을 아이스크림을 미리 먹는 것입니다.","다 먹은 줄 알았는데, 이빨을 닦고 나서는 먹을 수 없잖아. 한시간 뒤에 먹을 아이스크림을 미리 먹는거야.","다 먹은 줄 알았는뎅,, 이 닦고 나서는 못 먹으니까,, 한시간 뒤에 먹을 아이스크림 미리 먹는거얌!!",다 먹은줄 알았는데 이닦고는 못먹으니까 한시간 이따 먹을거 지금 먹는거임 왜,"다 먹은 줄 알았는데, 치아를 닦고 나서는 먹을 수 없지 않습니까. 한 시간 뒤에 먹을 아이스크림을 미리 먹는 것입니다."
단순히 아이스크림을 더 먹고싶은 것 뿐이죠?,단순히 아이스크림을 더 먹고싶은 것 뿐이지?,걍 아이스크림 더 먹고 싶은 거 같은뎅~,그냥 아이스크림 더 먹고싶은걸 뭘 돌려말함 ㅡㅡ,단순히 아이스크림을 더 먹고 싶으신 거 아닙니까?
정확합니다.,정확해.,맞앙 ㅎㅎ,ㅇ,정확합니다.
안녕하세요. 농구를 하는 중이시네요.,안녕. 농구를 하는 중이네.,안뇽~ 농구하는 중이넹!,ㅎㅇ 농구하네,안녕하십니까. 농구 하시는 중이네요.
농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습합니다.,농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습해.,농구 경기 안할 때두 평소에 이렇게 혼자 연습행 ㅎㅎ,ㅇ 경기 안할때도 평소에 혼자 이렇게 연습하는데 왜,농구 경기를 하지 않을 때에도 평소에 혼자 이렇게 연습합니다.
좋은 운동이 될 거 같아요. 어떤 팀에 소속되어있나요?,좋은 운동이 될 거 같아. 어떤 팀에 소속되어있어?,좋은 운동이 될 거 같앙! 어떤 팀에 소속되어 있엉?!,좋은 운동이겠네. 팀 ㅇㄷ?,좋은 운동이 될 거 같네요. 어떤 팀에 소속되어 계십니까?
"예전에는 대학 농구팀에 있었는데, 인대를 다친 이후로는 대회에 안나가고 동네에서만 농구하는 편입니다.","예전에는 대학 농구팀에 있었는데, 인대를 다친 이후로는 대회에 안나가고 동네에서만 농구하는 편이야.","예전에는 대학 농구팀에 있었는뎅,, 인대 다친 이후로는 대회 안나가고 동네에서만 농구하구 있어 ㅎㅎ",전에 대학 농구팀에 있다가 인대 다치고는 대회 안나가고 동네에서만 함,예전에는 대학 농구팀에 있었습니다. 인대를 다친 이후로는 대회는 나가지 않고 동네에서만 농구하는 편입니다.
유감입니다. 어쩌다가 다치게 됐어요?,유감이야. 어쩌다가 다치게 됐어?,"유감이당,, 어쩌다 다치게 됐어ㅜㅜ?",뭐하다 다쳤는데,유감입니다. 어쩌다가 다치게 되셨나요?
연습 경기를 하다가 잘 못 넘어졌습니다.,연습 경기를 하다가 잘 못 넘어졌어.,연습 경기 하다가 잘 못 넘어졌어ㅜㅜ,연습경기하다가 잘못 넘어짐,연습 경기를 하다가 잘 못 넘어졌습니다.
더 이상 대회에 못 나간다니 아쉽겠어요.,더 이상 대회에 못 나간다니 아쉽겠다.,"더 이상 대회에 못 나간다니…! 아쉽겠당,,",ㅋ 대회 못나가겠네 이제,더 이상 대회에 나가지 못한다니 아쉽겠습니다.
"한 때는 정말 아쉬웠지만, 회복하고 나서 다시 농구를 할 수 있어서 다행이라고 생각합니다.","한 때는 정말 아쉬웠지만, 회복하고 나서 다시 농구를 할 수 있어서 다행이라고 생각해.","한 때는 진~짜 아쉬웠는뎅,, 회복하고 나선 다시 농구 할 수 있어서 다행이라구 생각햄 ㅎㅎ,,",아쉬웠는데 회복해서 다시 농구 할 수 있는게 어디임 ㅡㅡ,한 때는 정말 아쉬웠습니다. 회복하고 나서는 다시 농구를 할 수 있다는 것만으로도 다행이라고 생각하고 있습니다.
이제는 농구를 해도 괜찮나요?,이제는 농구를 해도 괜찮아?,이젠 농구 해도 괜찮앙?,이제 농구 해도 되잖아,이제는 농구를 해도 괜찮습니까?
무리해서 뛰지 않는 이상 다칠 가능성은 낮다고 의사 선생님이 말씀하셨습니다. 오히려 재활하는데 도움이 될 거라고도 말씀하셨어요.,무리해서 뛰지 않는 이상 다칠 가능성은 낮다고 의사 선생님이 말씀하셨어. 오히려 재활하는데 도움이 될 거라고도 말하시고.,"무리해서 뛰지 않는 이상 다칠 가능성은 낮다구,, 의사 선생님이 말씀하셧엉 오히려 재활하는데 도움이 될 거라구!",무리해서 뛰는거 아니면 다칠 가능성은 낮다잖아 의사선생님이 ㅡㅡ 재활하는데 도움 될거라 하시는데 뭔 문제야,무리해서 뛰지 않는 이상 다칠 가능성은 낮다고 의사 선생님이 말씀하셨습니다. 오히려 재활하는데 도움이 될 거라고도 말씀해주셨습니다.
"다행이네요, 멀리서 봐도 농구를 좋아한다는 것을 알 수 있어요.","다행이네, 멀리서 봐도 농구를 좋아한다는 것을 알 수 있어.",다행이당 ㅎㅎ 멀리서 봐도 농구를 좋아한다는 걸 알 수 있었어 ㅎㅎ,ㅋ 하긴 멀리서 봐도 농구 좋아해보이긴 하더라,다행입니다. 멀리서 봐도 농구를 좋아하신다는 걸 알 수 있었습니다. 
"네, 어렸을 때 부터 농구를 해왔습니다.",어렸을 때 부터 농구를 해왔으니까.,웅웅! 어릴 때부터 농구 해왔징 ㅎㅎ,어렸을때부터 해왔으니까 당연하지 ㅡㅡ,네. 어릴 때부터 농구를 해왔습니다.
언제 농구를 시작했나요?,언제 농구를 시작했어?,언제 농구 시작했엉?,농구는 언제부터 했냐 ㅋ,언제 농구를 시작하셨습니까?
"8살때 처음 농구공을 만졌으니, 이제 거의 20년 전이네요.","8살때 처음 농구공을 만졌으니, 이제 거의 20년 전이네.","8살 때 처음 농구공을 만졌으니,,, 이제 거의 20년 전이넹!",8살때 처음 농구공 만졌으니까 한 20년 됐는데 왜,"8살 때 처음 농구공을 만졌으니, 이제 거의 20년 전이네요."
굉장히 오래 전부터 농구를 했었네요.,굉장히 오래 전부터 농구를 했었네.,"굉장히 오래 전부터 농구했구낭,,",농구 오래도 했네,굉장히 오래 전부터 농구를 했었네요.
네. 1대1 하실래요?,응. 1대1 할래?,웅!ㅋㅋ 1대1할랭?!,ㅇ 1대1 하던가,네. 1대1 하시겠습니까?
"안녕하세요, 지금까지 저녁은 잘 즐기고 계신가요?","안녕하세요, 지금까지 저녁은 잘 즐기고 있어?",안뇽~ 지금까지 저녁은 잘 즐기고 있어?,ㅎㅇ 저녁 잘 보내는 중?,안녕하십니까. 지금까지 저녁은 잘 즐기고 계십니까?
정말 훌륭합니다. 이렇게 재미있는 콘서트는 자주 즐기기 힘들 것 같아요.,정말 훌륭해. 이렇게 재미있는 콘서트는 자주 즐기기 힘들 것 같아.,진~짜 펄풱~ 이렇게 재밋는 콘서트는 자주 즐기기 힘들 거 같아ㅜ,ㅇ 좋음 콘서트 재밌는데 이런거 자주 못옴,정말 휼륭합니다. 이렇게 재미있는 콘서트는 자주 즐기기 힘들지 않습니까
마돈나 콘서트는 언제나 재밌습니다. 처음 오신 것인가요?,마돈나 콘서트는 언제나 재밌지. 처음왔어?,마돈나 콘서트는 언제나 재밌징 ㅎㅎ 첨 온거야?!,마돈나 콘서트 재밌겠지 ㅋ 처음옴?,마돈나 콘서트는 언제나 재밌습니다. 처음 오신 것입니까?
"네, 영상으로는 몇 번 봤지만, 직접 온 건 처음입니다.","응, 영상으로는 몇 번 봤지만, 직접 온 건 처음이야.","웅웅 영상으론 몇번 봤는데, 직접 온 건 또 처음이징~",ㅇ 영상으로만 몇번 보고 직접 온건 처음이지,"네. 영상으로는 몇번 봤지만, 직접 온 건 처음입니다."
생각보다 훨씬 더 활기차지 않나요?,생각보다 훨씬 더 활기차지 않아?,생각보다 훨씬 더 활기차지 않앙?!,생각보다 활기차겠네 ㅋ,생각보다 훨씬 더 활기차지 않습니까?
"네, 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수가 인상깊었습니다.","응, 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수가 인상깊었어.",웅!!! 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수!! 완전 인상적,ㅇ 무대에 마돈나 올라오기 전에 노래부른 가수 인상깊었음,네. 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수가 인상깊었습니다.
김철수 말씀하시는군요. 저도 인상깊었습니다.,김철수 말하는거지? 나도 인상깊었어.,김철수 말하는 거구나 ㅋㅋ 나도 인상깊엇엉!!,김철수? ㅇ 인상깊음,김철수 말씀이시군요. 저도 인상 깊었습니다.
지금까지 한 번도 못 본 것 같습니다.,지금까지 한 번도 못 본 것 같아.,지금까지 한번도 못 본 것 같아!,처음봄,지금까지 한 번도 못 본 것 같습니다.
